,num_schools,num_students,attendance_rate,dropout_rate,grad_rate_4_year,grad_rate_5_year,annual_grad_count,college_admissions_per_tested,college_admissions_at_crit,average_sat,average_act,average_teacher_salary,average_teacher_exp,total_revenue,total_revenue_per_pupil,percent_revenue_from_state,percent_revenue_from_local,percent_revenue_from_federal,instr_expenditures,instr_expenditures_per_pupil,district_size,community_type,property_wealth,tax_rate,rating
2207,14.0,12968.0,95.4,0.8,91.4,96.0,855.0,47.6,24.1,1464.0,22.0,56051.0,12.6,193563918.0,15134.0,7.5,88.3,4.2,61577877.0,4815.0,"10,000 to 24,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over,Met Standard
2208,23.0,22515.0,95.6,2.2,91.3,91.7,1532.0,44.1,10.4,1317.0,18.7,50772.0,10.6,237691478.0,10798.0,46.9,42.4,10.6,105013849.0,4771.0,"10,000 to 24,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2209,27.0,22228.0,95.1,1.1,93.5,93.0,1358.0,46.7,15.6,1354.0,19.4,56143.0,10.3,224415874.0,10321.0,29.9,59.5,10.5,105825460.0,4867.0,"10,000 to 24,999",Major Suburban,"$382,231 to < $400,089",$1.2365 to under $1.3593,Met Standard
2210,279.0,210716.0,95.8,3.1,81.6,85.3,9475.0,97.2,14.5,1252.0,20.5,52186.0,10.8,1888535642.0,9322.0,18.2,71.0,10.8,966811280.0,4772.0,"50,000 and over",Major Urban,"$469,944 to < $525,059",$1.1251 to under $1.2365,Met Standard
2211,42.0,38056.0,96.0,0.8,95.5,96.9,2557.0,68.4,32.1,1473.0,22.3,51480.0,10.3,364998109.0,9900.0,42.8,52.1,5.1,165963732.0,4502.0,"25,000 to 49,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2212,59.0,67015.0,96.8,1.2,93.3,95.2,4259.0,76.7,46.2,1580.0,23.6,52881.0,11.4,631001947.0,9797.0,35.7,57.8,6.5,306623094.0,4761.0,"50,000 and over",Major Suburban,"$312,844 to < $324,855",$1.3593 and over,Met Standard
2213,47.0,48003.0,95.8,1.1,91.9,93.3,3106.0,65.9,34.9,1489.0,22.4,53637.0,12.3,430554551.0,9204.0,45.1,47.4,7.5,226440265.0,4841.0,"25,000 to 49,999",Major Suburban,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2214,14.0,7605.0,95.2,0.4,95.0,97.0,544.0,41.7,21.6,1415.0,19.5,54587.0,11.7,83182691.0,10771.0,8.3,83.6,8.2,36722808.0,4755.0,"5,000 to 9,999",Major Suburban,"$683,703 to < $2,233,241",$1.2365 to under $1.3593,Met Standard
2215,61.0,54382.0,95.2,1.8,88.9,91.1,2997.0,48.0,13.2,1325.0,19.8,52509.0,9.3,522096125.0,9768.0,56.9,28.4,14.7,267580013.0,5006.0,"50,000 and over",Major Suburban,"$181,217 to < $200,649",$1.2365 to under $1.3593,Met Standard
2216,37.0,36358.0,94.8,2.0,87.6,85.8,2019.0,59.8,10.0,1281.0,17.4,51349.0,9.1,352548396.0,9785.0,54.6,34.5,10.9,166194124.0,4613.0,"25,000 to 49,999",Major Suburban,"$181,217 to < $200,649",$1.3593 and over,Met Standard
2217,46.0,35218.0,95.8,2.0,90.3,91.9,2011.0,80.6,43.8,1516.0,23.4,52891.0,11.7,353469412.0,10164.0,11.4,76.8,11.8,166110781.0,4776.0,"25,000 to 49,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over,Met Standard
2218,15.0,12444.0,96.4,0.7,96.2,97.2,694.0,63.3,37.8,1519.0,23.0,53135.0,11.5,117677662.0,10038.0,20.3,75.2,4.5,52599754.0,4487.0,"10,000 to 24,999",Major Suburban,"$441,532 to < $469,944",$1.3593 and over,Met Standard
2219,13.0,7745.0,96.4,1.9,92.0,89.9,378.0,61.4,4.3,1207.0,17.2,49953.0,7.6,88942472.0,11782.0,18.5,71.0,10.5,39534724.0,5237.0,"5,000 to 9,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over,Met Standard
2220,5.0,3308.0,96.1,1.1,95.3,97.8,186.0,60.2,19.6,1435.0,22.2,50882.0,11.3,29510854.0,9019.0,49.4,44.0,6.6,13548870.0,4141.0,"3,000 to 4,999",Non-metropolitan Stable,"$239,665 to < $259,094",$1.3593 and over,Met Standard
2221,11.0,5535.0,95.5,1.6,89.3,93.0,294.0,43.4,15.6,1371.0,19.7,42390.0,11.3,47968330.0,8637.0,16.5,61.5,22.1,26318600.0,4739.0,"5,000 to 9,999",Independent Town,"$469,944 to < $525,059",Under $1.1251,Met Standard
2222,3.0,894.0,96.0,0.8,98.4,88.6,63.0,61.9,7.7,1443.0,19.6,39280.0,11.2,8757544.0,10124.0,21.4,71.1,7.5,4424762.0,5115.0,500 to 999,Non-metropolitan Stable,"$525,059 to < $683,703",$1.1251 to under $1.2365,Met Standard
2223,6.0,4754.0,96.1,0.2,97.7,97.2,267.0,56.9,25.7,1406.0,21.5,42127.0,12.6,49582146.0,10783.0,22.9,68.2,8.9,21140053.0,4598.0,"3,000 to 4,999",Other Central City Suburban,"$469,944 to < $525,059",$1.3593 and over,Met Standard
2224,3.0,719.0,96.4,0.0,97.9,93.5,46.0,67.4,29.0,-1.0,21.3,41514.0,12.9,7207319.0,9927.0,59.7,31.7,8.7,3274100.0,4510.0,500 to 999,Rural,"$226,769 to < $239,665",$1.2365 to under $1.3593,Met Standard
2225,3.0,1029.0,95.4,1.9,84.8,91.1,57.0,80.7,15.2,-1.0,19.0,42381.0,14.0,10213890.0,10183.0,24.2,69.9,5.9,5062551.0,5047.0,"1,000 to 1,599",Non-metropolitan Stable,"$525,059 to < $683,703",$1.1251 to under $1.2365,Met Standard
2226,3.0,626.0,95.9,0.5,97.4,100.0,37.0,62.2,34.8,-1.0,20.7,41636.0,16.6,8375077.0,12709.0,59.7,30.3,10.0,4045542.0,6139.0,500 to 999,Rural,"$239,665 to < $259,094",$1.1251 to under $1.2365,Met Standard
2227,1.0,133.0,96.4,0.0,100.0,92.3,9.0,44.4,-1.0,-1.0,-1.0,34179.0,8.2,1883667.0,12075.0,64.2,27.9,7.9,781387.0,5009.0,Under 500,Rural,"$200,649 to < $226,769",$1.1251 to under $1.2365,Met Standard
2228,1.0,150.0,93.5,2.4,84.2,77.8,30.0,70.0,28.6,1490.0,22.0,35189.0,3.1,1646883.0,12021.0,77.1,7.3,15.6,784993.0,5730.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Met Standard
2229,10.0,7501.0,95.3,3.8,85.8,90.0,485.0,62.5,18.2,1372.0,18.7,47727.0,12.7,78333048.0,10432.0,23.2,64.5,12.3,37408566.0,4982.0,"5,000 to 9,999",Other Central City,"$441,532 to < $469,944",$1.2365 to under $1.3593,Met Standard
2230,5.0,5085.0,96.3,0.0,99.1,99.6,321.0,84.4,60.1,1668.0,25.4,48394.0,12.1,50663251.0,10632.0,11.7,83.7,4.6,18621779.0,3908.0,"5,000 to 9,999",Major Suburban,"$525,059 to < $683,703",$1.3593 and over,Met Standard
2231,4.0,2064.0,96.2,0.3,97.4,98.3,149.0,76.5,50.9,1591.0,23.4,47954.0,13.7,20324289.0,9943.0,13.4,81.2,5.5,9689245.0,4740.0,"1,600 to 2,999",Other Central City Suburban,"$683,703 to < $2,233,241",$1.2365 to under $1.3593,Met Standard
2232,22.0,17205.0,95.7,1.9,91.8,91.9,882.0,63.6,26.0,1414.0,20.3,46515.0,10.0,156757708.0,9486.0,52.0,40.5,7.5,72139068.0,4365.0,"10,000 to 24,999",Major Suburban,"$226,769 to < $239,665",$1.3593 and over,Met Standard
2233,4.0,973.0,96.6,1.9,89.8,93.4,44.0,72.7,18.8,-1.0,20.7,48912.0,13.3,20396823.0,21071.0,13.2,85.0,1.8,6070267.0,6271.0,500 to 999,Non-metropolitan Fast Growing,"$683,703 to < $2,233,241",$1.1251 to under $1.2365,Met Standard
2234,6.0,3388.0,95.9,2.0,94.6,93.9,191.0,45.5,20.7,1410.0,19.8,43097.0,11.8,31401675.0,9390.0,37.4,48.2,14.4,15200468.0,4546.0,"3,000 to 4,999",Independent Town,"$340,343 to < $382,231",$1.1251 to under $1.2365,Met Standard
2235,7.0,2761.0,95.2,0.3,92.2,94.8,170.0,42.9,26.0,1400.0,21.1,43155.0,14.0,25793020.0,9012.0,55.8,35.6,8.6,11643002.0,4068.0,"1,600 to 2,999",Other Central City Suburban,"$200,649 to < $226,769",$1.3593 and over,Met Standard
2236,3.0,598.0,96.0,0.5,98.0,100.0,49.0,38.8,10.5,1604.0,19.0,41305.0,10.3,5541125.0,9174.0,38.1,54.6,7.3,2572723.0,4259.0,500 to 999,Rural,"$469,944 to < $525,059",Under $1.1251,Met Standard
2237,4.0,1468.0,96.6,0.0,94.2,99.1,83.0,50.6,19.0,1389.0,-1.0,47860.0,13.5,14052562.0,9712.0,36.6,50.0,13.4,7105766.0,4911.0,"1,000 to 1,599",Non-metropolitan Stable,"$340,343 to < $382,231",$1.2365 to under $1.3593,Met Standard
2238,6.0,1282.0,95.7,0.0,98.6,97.1,63.0,38.1,8.3,1349.0,21.2,46349.0,13.5,16331936.0,12850.0,14.2,71.7,14.2,7638836.0,6010.0,"1,000 to 1,599",Non-metropolitan Stable,"$683,703 to < $2,233,241",$1.1251 to under $1.2365,Met Standard
2239,3.0,475.0,96.7,0.0,93.5,96.4,27.0,74.1,35.0,1357.0,24.1,45162.0,16.0,4847324.0,10653.0,27.5,66.8,5.7,2279165.0,5009.0,Under 500,Rural,"$683,703 to < $2,233,241",Under $1.1251,Met Standard
2240,3.0,389.0,85.3,0.7,58.7,79.4,125.0,5.6,0.0,-1.0,14.5,38395.0,5.0,4159378.0,11458.0,68.8,0.1,31.1,1848628.0,5093.0,Under 500,Charters,Non-taxing entities,Non-taxing entities,Met Alternative Standard
2241,30.0,15535.0,98.2,0.0,96.6,100.0,431.0,-2.0,18.2,1361.0,19.6,44884.0,2.3,130994864.0,10424.0,77.9,6.7,15.4,50893479.0,4050.0,"10,000 to 24,999",Charters,Non-taxing entities,Non-taxing entities,Met Standard
2242,23.0,15356.0,94.6,3.2,81.7,86.7,736.0,56.3,2.9,1326.0,16.7,48117.0,8.0,165088276.0,10829.0,72.8,8.8,18.4,78896213.0,5175.0,"10,000 to 24,999",Other Central City Suburban,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2243,9.0,5187.0,94.7,3.0,90.1,90.3,322.0,64.0,2.9,1203.0,16.7,45806.0,10.9,58058417.0,11276.0,68.1,9.0,22.9,28813255.0,5596.0,"5,000 to 9,999",Other Central City Suburban,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2244,43.0,34002.0,95.7,2.0,88.9,92.2,1965.0,74.0,8.7,1365.0,17.7,51592.0,12.9,326122926.0,9711.0,62.3,21.3,16.4,171616196.0,5110.0,"25,000 to 49,999",Other Central City,"$101,960 to < $151,909",$1.2365 to under $1.3593,Met Standard
2245,8.0,3242.0,95.4,1.0,90.9,95.8,223.0,74.0,2.4,1196.0,16.5,49459.0,11.7,39564919.0,11968.0,61.2,17.4,21.4,17476154.0,5286.0,"3,000 to 4,999",Other Central City Suburban,"$101,960 to < $151,909",$1.3593 and over,Met Standard
2246,34.0,25108.0,95.7,2.7,87.2,88.8,1485.0,70.4,17.2,1428.0,18.8,49655.0,12.9,234979374.0,9469.0,50.3,32.8,16.9,120841343.0,4870.0,"25,000 to 49,999",Other Central City,"$226,769 to < $239,665",$1.1251 to under $1.2365,Met Standard
2247,11.0,5747.0,95.8,0.7,88.5,92.9,334.0,61.4,4.4,1288.0,17.5,47728.0,11.4,65053932.0,11451.0,62.0,12.0,26.0,31209921.0,5494.0,"5,000 to 9,999",Other Central City Suburban,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2248,24.0,15344.0,95.1,3.1,85.9,90.4,845.0,81.9,6.8,1424.0,18.0,49383.0,11.5,167076771.0,10799.0,68.0,14.2,17.8,79138545.0,5115.0,"10,000 to 24,999",Other Central City Suburban,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2249,45.0,31980.0,95.8,1.0,91.5,94.7,1934.0,62.6,4.0,1257.0,17.0,49394.0,10.5,339457307.0,10600.0,66.0,15.2,18.8,155099502.0,4843.0,"25,000 to 49,999",Other Central City,"$101,960 to < $151,909",$1.2365 to under $1.3593,Met Standard
2250,6.0,2134.0,96.4,3.4,92.9,83.8,114.0,55.3,1.6,1232.0,16.9,44042.0,7.0,24463874.0,11342.0,74.8,7.8,17.4,10953879.0,5078.0,"1,600 to 2,999",Non-metropolitan Stable,"Under $101,960",$1.3593 and over,Met Standard
2251,11.0,10242.0,97.0,0.4,95.2,96.8,719.0,77.4,17.6,1400.0,19.4,51018.0,12.8,90653715.0,8883.0,51.3,39.4,9.3,44308930.0,4342.0,"10,000 to 24,999",Other Central City Suburban,"$226,769 to < $239,665",$1.2365 to under $1.3593,Met Standard
2252,38.0,29645.0,93.4,3.0,84.9,88.6,1601.0,55.9,5.7,1267.0,17.4,50416.0,10.4,315132678.0,10801.0,70.2,10.3,19.6,151610695.0,5196.0,"25,000 to 49,999",Other Central City,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2253,22.0,17641.0,94.8,4.1,85.7,89.2,1016.0,63.4,6.1,1474.0,17.7,54425.0,14.5,171431945.0,9615.0,67.7,13.9,18.4,84411831.0,4734.0,"10,000 to 24,999",Other Central City Suburban,"Under $101,960",$1.1251 to under $1.2365,Met Standard
2254,9.0,4620.0,96.7,0.6,95.3,95.5,285.0,64.2,3.3,1405.0,17.3,45797.0,8.0,49338517.0,10365.0,69.4,11.7,18.9,25332197.0,5322.0,"3,000 to 4,999",Other Central City Suburban,"Under $101,960",$1.2365 to under $1.3593,Met Standard
2255,1.0,269.0,97.8,0.0,100.0,100.0,23.0,69.6,12.5,1360.0,20.4,44313.0,16.5,3400114.0,12319.0,61.1,35.6,3.3,1438302.0,5211.0,Under 500,Rural,"$151,909 to < $181,217",$1.2365 to under $1.3593,Met Standard
2256,1.0,201.0,97.3,0.0,95.2,100.0,20.0,60.0,25.0,1367.0,21.9,38947.0,13.3,2940028.0,13184.0,60.3,33.3,6.4,1198426.0,5374.0,Under 500,Rural,"$259,094 to < $282,185",$1.2365 to under $1.3593,Met Standard
2257,6.0,2003.0,96.4,0.2,97.8,99.1,94.0,20.2,10.5,1401.0,-1.0,43581.0,10.2,20059724.0,10183.0,47.4,40.9,11.7,9246343.0,4694.0,"1,600 to 2,999",Independent Town,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2258,3.0,403.0,96.8,0.0,100.0,100.0,35.0,37.1,15.4,1299.0,18.6,44180.0,14.4,5021362.0,13076.0,66.8,25.7,7.5,2199229.0,5727.0,Under 500,Rural,"$151,909 to < $181,217",$1.3593 and over,Met Standard
2259,3.0,686.0,96.1,0.9,96.2,95.6,48.0,68.8,18.2,1405.0,19.8,45827.0,9.9,7939084.0,11027.0,57.3,34.2,8.5,3861185.0,5363.0,500 to 999,Rural,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2260,5.0,1527.0,95.9,1.1,96.9,96.6,99.0,44.4,36.4,1482.0,21.8,44224.0,12.9,16947677.0,11026.0,35.1,52.2,12.7,7301166.0,4750.0,"1,000 to 1,599",Independent Town,"$340,343 to < $382,231",$1.2365 to under $1.3593,Met Standard
2261,1.0,281.0,97.1,2.0,95.2,100.0,21.0,42.9,11.1,1407.0,-1.0,38898.0,8.3,3118747.0,10867.0,65.1,30.1,4.9,1198711.0,4177.0,Under 500,Rural,"$181,217 to < $200,649",$1.2365 to under $1.3593,Met Standard
2262,2.0,356.0,96.4,0.0,95.7,96.3,26.0,38.5,10.0,1386.0,21.0,41202.0,12.5,4223811.0,11174.0,50.4,41.2,8.4,2188988.0,5791.0,Under 500,Rural,"$324,855 to < $340,343",$1.3593 and over,Met Standard
2263,1.0,197.0,97.0,3.9,87.5,100.0,14.0,64.3,0.0,1320.0,-1.0,36688.0,6.1,2437343.0,12896.0,76.5,14.2,9.4,1370907.0,7253.0,Under 500,Rural,"$101,960 to < $151,909",$1.1251 to under $1.2365,Met Standard
2264,1.0,248.0,96.8,1.4,94.1,95.7,17.0,58.8,10.0,-1.0,18.4,38362.0,9.2,2963930.0,11856.0,39.2,52.4,8.4,1317101.0,5268.0,Under 500,Rural,"$441,532 to < $469,944",$1.1251 to under $1.2365,Met Standard
2265,7.0,3089.0,95.0,4.4,81.9,86.2,157.0,30.6,20.8,1375.0,20.6,43163.0,12.9,32731923.0,10792.0,19.4,67.1,13.5,16972010.0,5596.0,"3,000 to 4,999",Non-metropolitan Stable,"$469,944 to < $525,059",Under $1.1251,Met Standard
2266,1.0,314.0,96.3,0.0,96.4,93.8,27.0,59.3,31.3,1357.0,22.7,46212.0,15.9,3642006.0,11636.0,54.4,37.3,8.3,1913865.0,6115.0,Under 500,Rural,"$299,922 to < $312,844",$1.1251 to under $1.2365,Met Standard
2267,2.0,413.0,96.9,0.0,100.0,100.0,20.0,80.0,12.5,1373.0,19.9,41529.0,13.4,4852312.0,11952.0,53.9,38.7,7.4,2021036.0,4978.0,Under 500,Rural,"$239,665 to < $259,094",$1.2365 to under $1.3593,Met Standard
2268,4.0,673.0,96.3,1.1,93.6,97.4,48.0,75.0,19.4,1486.0,21.2,53269.0,17.3,13184818.0,18998.0,17.4,80.3,2.4,6127247.0,8829.0,500 to 999,Rural,"$683,703 to < $2,233,241",Under $1.1251,Met Standard
2269,1.0,174.0,96.7,0.0,100.0,100.0,14.0,71.4,20.0,-1.0,20.3,42080.0,12.8,2866116.0,14850.0,30.9,65.1,4.0,1111842.0,5761.0,Under 500,Rural,"$400,089 to < $441,532",$1.1251 to under $1.2365,Met Standard
2270,11.0,6625.0,95.1,1.1,92.1,98.2,397.0,63.0,34.0,1482.0,22.2,50492.0,13.4,62359386.0,9579.0,15.8,75.8,8.4,32001512.0,4916.0,"5,000 to 9,999",Other Central City Suburban,"$683,703 to < $2,233,241",$1.1251 to under $1.2365,Met Standard
2271,2.0,324.0,96.0,0.0,100.0,100.0,15.0,46.7,14.3,-1.0,20.6,43426.0,13.8,4162970.0,13343.0,25.6,58.9,15.5,1833192.0,5876.0,Under 500,Rural,"$469,944 to < $525,059",$1.3593 and over,Met Standard
2272,3.0,672.0,96.3,0.4,98.2,100.0,57.0,71.9,26.8,1457.0,22.1,45886.0,13.1,6242358.0,9589.0,45.6,51.1,3.3,3080071.0,4731.0,500 to 999,Independent Town,"$299,922 to < $312,844",$1.2365 to under $1.3593,Met Standard
2273,8.0,4245.0,95.8,0.7,92.9,94.8,237.0,56.1,29.3,1515.0,21.3,44256.0,14.0,39093205.0,9335.0,43.8,41.7,14.4,19084193.0,4557.0,"3,000 to 4,999",Independent Town,"$239,665 to < $259,094",$1.3593 and over,Met Standard
2274,2.0,388.0,95.4,0.8,100.0,95.8,45.0,44.4,5.0,1387.0,18.6,39177.0,12.8,4606640.0,11459.0,62.7,22.4,15.0,2105576.0,5238.0,Under 500,Rural,"$151,909 to < $181,217",$1.2365 to under $1.3593,Met Standard
2275,2.0,496.0,95.8,0.0,100.0,93.1,31.0,38.7,16.7,-1.0,20.6,41026.0,12.2,5213999.0,11165.0,65.1,25.5,9.5,2243943.0,4805.0,Under 500,Rural,"$181,217 to < $200,649",Under $1.1251,Met Standard
2276,1.0,255.0,95.7,0.0,100.0,100.0,18.0,33.3,50.0,-1.0,21.3,37442.0,8.8,2774702.0,12387.0,65.0,27.5,7.4,1204385.0,5377.0,Under 500,Rural,"$200,649 to < $226,769",$1.2365 to under $1.3593,Met Standard
2277,2.0,764.0,95.7,1.2,94.8,100.0,51.0,51.0,7.7,-1.0,20.0,40615.0,11.0,8164323.0,10257.0,58.6,21.6,19.7,4112507.0,5166.0,500 to 999,Rural,"$151,909 to < $181,217",Under $1.1251,Met Standard
2278,1.0,257.0,97.6,0.0,95.7,100.0,22.0,68.2,33.3,1423.0,21.1,45541.0,16.7,3755884.0,14671.0,53.7,28.3,18.1,1808786.0,7066.0,Under 500,Rural,"$151,909 to < $181,217",Under $1.1251,Met Standard
2279,5.0,1295.0,95.7,0.3,96.3,96.3,83.0,50.6,14.3,1302.0,19.2,42236.0,12.8,17420232.0,13881.0,34.2,34.7,31.1,6308657.0,5027.0,"1,000 to 1,599",Non-metropolitan Stable,"$312,844 to < $324,855",$1.2365 to under $1.3593,Improvement Required
2280,3.0,485.0,95.2,1.2,85.7,97.2,35.0,45.7,25.0,1374.0,18.8,41959.0,16.0,5167028.0,11136.0,30.9,61.4,7.7,2562347.0,5522.0,Under 500,Rural,"$525,059 to < $683,703",$1.1251 to under $1.2365,Met Standard
2281,2.0,502.0,96.0,0.0,100.0,93.2,30.0,70.0,28.6,1505.0,20.6,46857.0,18.4,5747601.0,11851.0,27.0,67.5,5.6,3090152.0,6371.0,500 to 999,Rural,"$525,059 to < $683,703",Under $1.1251,Met Standard
2282,2.0,492.0,96.0,0.0,91.2,93.5,34.0,58.8,20.0,1360.0,20.3,39936.0,11.4,5192161.0,10705.0,49.6,38.4,12.0,2843231.0,5862.0,Under 500,Rural,"$282,185 to < $299,922",$1.2365 to under $1.3593,Met Standard
2283,2.0,307.0,95.2,0.0,95.8,95.0,24.0,41.7,20.0,1451.0,-1.0,43339.0,17.4,3935075.0,13073.0,54.9,36.3,8.8,2051818.0,6817.0,Under 500,Rural,"$400,089 to < $441,532",Under $1.1251,Met Standard
2284,7.0,4134.0,94.4,2.3,91.9,96.3,236.0,22.9,16.7,-1.0,20.6,43738.0,9.9,42573595.0,10185.0,36.1,51.5,12.4,17049129.0,4079.0,"3,000 to 4,999",Independent Town,"$282,185 to < $299,922",$1.2365 to under $1.3593,Improvement Required
2285,3.0,875.0,95.3,0.0,100.0,97.9,57.0,40.4,8.7,-1.0,19.3,47559.0,12.9,9300691.0,10916.0,26.1,70.4,3.5,4031804.0,4732.0,500 to 999,Non-metropolitan Stable,"$469,944 to < $525,059",$1.2365 to under $1.3593,Met Standard
2286,2.0,709.0,96.3,1.5,90.7,100.0,36.0,61.1,50.0,1668.0,23.1,48870.0,16.1,8862960.0,12939.0,9.8,87.2,3.0,3318859.0,4845.0,500 to 999,Rural,"$683,703 to < $2,233,241",Under $1.1251,Met Standard
2287,3.0,476.0,96.6,1.9,94.3,88.4,34.0,82.4,0.0,1178.0,-1.0,47530.0,10.0,6101041.0,12658.0,52.6,31.9,15.6,3103014.0,6438.0,Under 500,Rural,"$340,343 to < $382,231",$1.3593 and over,Met Standard
2288,1.0,124.0,94.0,2.1,88.9,75.0,15.0,100.0,0.0,1147.0,16.7,40123.0,9.2,1806922.0,11154.0,37.7,49.2,13.1,948050.0,5852.0,Under 500,Rural,"$469,944 to < $525,059",Under $1.1251,Improvement Required
2289,4.0,1546.0,96.7,0.9,99.0,100.0,103.0,45.6,38.3,1530.0,22.6,45609.0,13.0,14555042.0,9372.0,52.4,43.5,4.1,6523801.0,4201.0,"1,000 to 1,599",Non-metropolitan Stable,"$226,769 to < $239,665",$1.3593 and over,Met Standard
2290,3.0,451.0,96.2,0.0,100.0,100.0,49.0,53.1,23.1,-1.0,21.7,42188.0,12.5,5586977.0,11762.0,69.6,24.1,6.2,2520381.0,5306.0,Under 500,Rural,"$151,909 to < $181,217",$1.3593 and over,Met Standard
2291,4.0,1503.0,96.4,0.7,95.7,98.1,116.0,50.9,22.0,1480.0,19.8,43327.0,11.3,18442280.0,11724.0,43.3,41.7,15.0,7968578.0,5066.0,"1,000 to 1,599",Non-metropolitan Stable,"$259,094 to < $282,185",$1.3593 and over,Met Standard
2292,13.0,4788.0,96.2,0.8,96.7,94.3,281.0,41.1,19.8,1381.0,20.5,44310.0,12.2,45572338.0,9803.0,34.3,45.8,19.9,23137497.0,4977.0,"3,000 to 4,999",Independent Town,"$324,855 to < $340,343",$1.1251 to under $1.2365,Met Standard
2293,4.0,964.0,96.0,0.0,96.5,98.8,59.0,72.9,25.6,1393.0,21.7,41971.0,12.0,9557840.0,10378.0,59.3,36.5,4.3,4248405.0,4613.0,500 to 999,Non-metropolitan Stable,"$200,649 to < $226,769",$1.3593 and over,Met Standard
2294,4.0,2587.0,94.3,0.0,96.6,100.0,144.0,42.4,14.8,1398.0,19.8,43393.0,10.2,23263150.0,9180.0,48.3,39.3,12.4,11007138.0,4344.0,"1,600 to 2,999",Other Central City Suburban,"$259,094 to < $282,185",$1.2365 to under $1.3593,Met Standard
2295,3.0,610.0,96.6,0.0,88.9,100.0,33.0,66.7,9.1,1300.0,18.7,43936.0,10.4,6438702.0,10521.0,68.2,22.3,9.6,3042445.0,4971.0,500 to 999,Rural,"$151,909 to < $181,217",$1.2365 to under $1.3593,Met Standard
2296,2.0,356.0,95.7,0.0,94.7,100.0,19.0,52.6,10.0,-1.0,19.3,37902.0,10.9,3814655.0,10394.0,62.5,28.2,9.4,1783714.0,4860.0,Under 500,Rural,"$200,649 to < $226,769",Under $1.1251,Met Standard
2297,3.0,599.0,96.8,0.0,97.0,92.7,32.0,34.4,45.5,1521.0,21.7,41115.0,10.2,6677566.0,10823.0,61.8,32.5,5.8,2864089.0,4642.0,500 to 999,Rural,"$181,217 to < $200,649",$1.3593 and over,Met Standard
2298,3.0,520.0,95.6,0.6,91.7,100.0,37.0,54.1,30.0,1378.0,20.9,42620.0,12.6,5547822.0,10468.0,87.1,7.7,5.2,2971951.0,5607.0,500 to 999,Rural,"Under $101,960",$1.3593 and over,Met Standard
2299,6.0,2791.0,95.5,0.5,95.1,100.0,158.0,44.3,17.1,1463.0,20.1,45855.0,11.8,28020310.0,10072.0,51.4,34.1,14.5,13199243.0,4745.0,"1,600 to 2,999",Non-metropolitan Stable,"$181,217 to < $200,649",$1.2365 to under $1.3593,Met Standard
2300,3.0,836.0,94.9,2.9,84.5,75.0,51.0,21.6,27.3,-1.0,20.7,42272.0,9.8,7284059.0,8569.0,65.0,27.1,7.9,3804731.0,4476.0,500 to 999,Non-metropolitan Stable,"$151,909 to < $181,217",$1.1251 to under $1.2365,Improvement Required
2301,3.0,639.0,95.1,0.5,100.0,98.0,42.0,57.1,12.5,-1.0,19.0,50229.0,16.9,10497570.0,16506.0,20.0,74.9,5.1,5021088.0,7895.0,500 to 999,Rural,"$683,703 to < $2,233,241",Under $1.1251,Met Standard
2302,2.0,322.0,96.4,0.0,96.3,100.0,24.0,58.3,21.4,-1.0,20.8,45519.0,16.6,7188665.0,23962.0,5.9,91.4,2.7,1877822.0,6259.0,Under 500,Rural,"$2,233,241 and over",$1.2365 to under $1.3593,Met Standard
2303,1.0,246.0,96.1,0.0,100.0,100.0,15.0,46.7,0.0,-1.0,18.5,41797.0,15.4,4107402.0,17331.0,20.3,74.5,5.2,1341102.0,5659.0,Under 500,Rural,"$525,059 to < $683,703",$1.3593 and over,Met Standard
2304,3.0,990.0,95.4,0.0,98.2,98.3,58.0,67.2,25.6,1435.0,22.0,48123.0,13.8,16694016.0,17087.0,15.3,79.6,5.2,6141731.0,6286.0,500 to 999,Non-metropolitan Stable,"$683,703 to < $2,233,241",$1.3593 and over,Met Standard
2305,2.0,327.0,96.2,0.8,100.0,96.0,26.0,42.3,36.4,1498.0,24.7,44256.0,14.2,4257207.0,11696.0,7.6,87.0,5.5,1930440.0,5303.0,Under 500,Rural,"$683,703 to < $2,233,241",$1.2365 to under $1.3593,Met Standard
2306,4.0,1558.0,95.2,0.8,92.4,97.5,103.0,59.2,13.1,1479.0,18.6,42929.0,13.0,18025281.0,11743.0,46.4,37.0,16.6,7490035.0,4880.0,"1,000 to 1,599",Non-metropolitan Stable,"$239,665 to < $259,094",$1.3593 and over,Met Standard
